path	sha256	disposition	owner	replacement_gate	selection
.dockerignore	2ef12b61895a4144234e61332a24cd75f4e761dfa3bf597ac1758f0f7a622ef6	retain-consumer-migrate-time-or-schema-binding-if-needed	W1-runtime+W4-account+W5-operations	G-FIN+G-TIME	lexical-or-native-seed
.github/workflows/ci.yml	5af18af8b4eeb7f92a4b507eb196c9b6b30bca2a0c1a01dca09b7c93fafb637f	serialize-build-config-architecture-cutover	orchestrator+W1-runtime	G-BUILD+G-TEST	lexical-or-native-seed
Makefile	6802268c7998df71d5543feba63663e1d6d3e07d87b4ff679107b42594770e42	serialize-build-config-architecture-cutover	orchestrator+W1-runtime	G-BUILD+G-TEST	lexical-or-native-seed
README.md	fe1f45c560962c0943b2462e0991a08ebc7b6bf2011d24859b01c8ad09945dd5	history-or-supporting-doc	orchestrator	G-DOC	lexical-or-native-seed
apps/api/backtest_views.py	7e216a0226eed2ededcfd0c791f0c81f2ce1e3011efd93529b982bf4efd9c591	retain-consumer-migrate-time-or-schema-binding-if-needed	W1-runtime+W4-account+W5-operations	G-FIN+G-TIME	reverse-static-import-closure
apps/api/config.py	4f4f873b249afaa88537104c57d1488f97d4e24f78b9220ec204ee89acc35738	retain-consumer-migrate-time-or-schema-binding-if-needed	W1-runtime+W4-account+W5-operations	G-FIN+G-TIME	reverse-static-import-closure
apps/api/contracts.py	5e2f3a121b009002d8373a5b948474d6cd5cd5486c0dce9f5d839bb20731e312	retain-consumer-migrate-time-or-schema-binding-if-needed	W1-runtime+W4-account+W5-operations	G-FIN+G-TIME	reverse-static-import-closure
apps/api/data_views.py	c27a847ffd4a2f517a5d11a1549e63c011d5ce1993edfe7ba822b5f363fde152	retain-consumer-migrate-time-or-schema-binding-if-needed	W1-runtime+W4-account+W5-operations	G-FIN+G-TIME	reverse-static-import-closure
apps/api/experiment_views.py	60c214a1fffeb90255611f0b860af27be971313792dc2e0b5efc7f953cd9bdce	retain-consumer-migrate-time-or-schema-binding-if-needed	W1-runtime+W4-account+W5-operations	G-FIN+G-TIME	reverse-static-import-closure
apps/api/fixture_segment_views.py	109dc8aba1915b76221bab24448e87adda2ada09d28a6e895d555ab7186a2141	retain-consumer-migrate-time-or-schema-binding-if-needed	W1-runtime+W4-account+W5-operations	G-FIN+G-TIME	reverse-static-import-closure
apps/api/main.py	0338da242f213375b6459e0fc6ba0293f76270a224071bcdd589ac3a6b6b81d4	retain-consumer-migrate-time-or-schema-binding-if-needed	W1-runtime+W4-account+W5-operations	G-FIN+G-TIME	reverse-static-import-closure
apps/api/operations_dashboard_views.py	feca432d2e35553ae68a03b8e2c2ed53b99c7b3e74cd848810b837e6579718a5	retain-consumer-migrate-time-or-schema-binding-if-needed	W1-runtime+W4-account+W5-operations	G-FIN+G-TIME	reverse-static-import-closure
apps/api/operations_views.py	f1b39656c2c1d942469c2184ac24e8fa52b5b5fb1d87a2c57b9564b2f4f735d7	retain-consumer-migrate-time-or-schema-binding-if-needed	W1-runtime+W4-account+W5-operations	G-FIN+G-TIME	reverse-static-import-closure
apps/runtime_stub.py	c408febcea99628ee1af41492a8594d1f4dba3aa2e07d7b7ebf5fd8e34c2cc2a	retain-consumer-migrate-time-or-schema-binding-if-needed	W1-runtime+W4-account+W5-operations	G-FIN+G-TIME	reverse-static-import-closure
apps/trader/main.py	197bd8e7ffdc78216aa24fc6fcefb40878f39d0bef8581ce92a9faafa43ddfd8	retain-consumer-migrate-time-or-schema-binding-if-needed	W1-runtime+W4-account+W5-operations	G-FIN+G-TIME	reverse-static-import-closure
apps/trusted_time_supervisor/__init__.py	5389e252a1bf7c16d46ef6fb6798c9ead8ff42416a5431ba67e18d2d3483758a	retire-personal-v1-prerequisite-after-replacement	W1-runtime+W5-operations	G-TIME+G-PROCESS+G-BUILD	lexical-or-native-seed
apps/trusted_time_supervisor/config.py	355bb23045cc11f6b6e06a65d348bb7012c9263c38a2e66f48d85dc1c6df4ee0	retire-personal-v1-prerequisite-after-replacement	W1-runtime+W5-operations	G-TIME+G-PROCESS+G-BUILD	lexical-or-native-seed
